parameter,question_text,A,B,C,D,correct_option
E_score,Do you enjoy being the center of attention?,Strongly Disagree,Disagree,Agree,Strongly Agree,D
E_score,Do you feel energized after socializing?,Strongly Disagree,Disagree,Agree,Strongly Agree,D
E_score,Do you like to meet new people?,Strongly Disagree,Disagree,Agree,Strongly Agree,D
E_score,Do you enjoy group activities?,Strongly Disagree,Disagree,Agree,Strongly Agree,D
E_score,Do you often start conversations with strangers?,Strongly Disagree,Disagree,Agree,Strongly Agree,D
E_score,Do you feel comfortable speaking in public?,Strongly Disagree,Disagree,Agree,Strongly Agree,D
E_score,Do you prefer to be surrounded by people?,Strongly Disagree,Disagree,Agree,Strongly Agree,D
E_score,Do you enjoy attending social events?,Strongly Disagree,Disagree,Agree,Strongly Agree,D
E_score,Do you like to be in leadership positions?,Strongly Disagree,Disagree,Agree,Strongly Agree,D
E_score,Do you often seek out new social experiences?,Strongly Disagree,Disagree,Agree,Strongly Agree,D
E_score,Do you enjoy working in teams?,Strongly Disagree,Disagree,Agree,Strongly Agree,D
E_score,Do you like to entertain others?,Strongly Disagree,Disagree,Agree,Strongly Agree,D
E_score,Do you feel at ease in large crowds?,Strongly Disagree,Disagree,Agree,Strongly Agree,D
E_score,Do you enjoy making new friends?,Strongly Disagree,Disagree,Agree,Strongly Agree,D
E_score,Do you find it easy to express your thoughts and feelings?,Strongly Disagree,Disagree,Agree,Strongly Agree,D
E_score,Do you prefer to spend your free time with others?,Strongly Disagree,Disagree,Agree,Strongly Agree,D
E_score,Do you enjoy participating in discussions?,Strongly Disagree,Disagree,Agree,Strongly Agree,D
E_score,Do you like to share your opinions?,Strongly Disagree,Disagree,Agree,Strongly Agree,D
E_score,Do you often take charge in group situations?,Strongly Disagree,Disagree,Agree,Strongly Agree,D
E_score,Do you enjoy being around people?,Strongly Disagree,Disagree,Agree,Strongly Agree,D
E_score,Do you like to engage in social activities?,Strongly Disagree,Disagree,Agree,Strongly Agree,D
E_score,Do you feel enthusiastic in social settings?,Strongly Disagree,Disagree,Agree,Strongly Agree,D
E_score,Do you enjoy being spontaneous with friends?,Strongly Disagree,Disagree,Agree,Strongly Agree,D
E_score,Do you like to make plans for social gatherings?,Strongly Disagree,Disagree,Agree,Strongly Agree,D
E_score,Do you feel invigorated after social interactions?,Strongly Disagree,Disagree,Agree,Strongly Agree,D
E_score,Socializing drains my energy, and I prefer to avoid it.,Strongly Disagree,Disagree,Agree,Strongly Agree,A
E_score,I feel uncomfortable in social gatherings and prefer solitude.,Strongly Disagree,Disagree,Agree,Strongly Agree,A
E_score,Initiating conversations with strangers is something I avoid.,Strongly Disagree,Disagree,Agree,Strongly Agree,A
E_score,I do not enjoy being the center of attention.,Strongly Disagree,Disagree,Agree,Strongly Agree,A
E_score,I find it hard to connect with others during group activities.,Strongly Disagree,Disagree,Agree,Strongly Agree,A
A_score,Do you often help others without being asked?,Strongly Disagree,Disagree,Agree,Strongly Agree,D
A_score,Do you trust people easily?,Strongly Disagree,Disagree,Agree,Strongly Agree,D
A_score,Are you willing to listen to other people's problems?,Strongly Disagree,Disagree,Agree,Strongly Agree,D
A_score,Do you enjoy working in collaborative environments?,Strongly Disagree,Disagree,Agree,Strongly Agree,D
A_score,Do you avoid conflicts with others?,Strongly Disagree,Disagree,Agree,Strongly Agree,D
A_score,Do you value others's opinions and feelings?,Strongly Disagree,Disagree,Agree,Strongly Agree,D
A_score,Do you often volunteer for community service?,Strongly Disagree,Disagree,Agree,Strongly Agree,D
A_score,Do you find it easy to empathize with others?,Strongly Disagree,Disagree,Agree,Strongly Agree,D
A_score,Do you get along well with most people?,Strongly Disagree,Disagree,Agree,Strongly Agree,D
A_score,Do you enjoy helping friends and family?,Strongly Disagree,Disagree,Agree,Strongly Agree,D
A_score,Do you approach new situations with an open mind?,Strongly Disagree,Disagree,Agree,Strongly Agree,D
A_score,Do you value cooperation over competition?,Strongly Disagree,Disagree,Agree,Strongly Agree,D
A_score,Do you often show kindness to strangers?,Strongly Disagree,Disagree,Agree,Strongly Agree,D
A_score,Do you feel comfortable expressing your feelings to others?,Strongly Disagree,Disagree,Agree,Strongly Agree,D
A_score,Do you seek to understand others's perspectives?,Strongly Disagree,Disagree,Agree,Strongly Agree,D
A_score,Do you enjoy mentoring or coaching others?,Strongly Disagree,Disagree,Agree,Strongly Agree,D
A_score,Do you believe in the value of teamwork?,Strongly Disagree,Disagree,Agree,Strongly Agree,D
A_score,Do you often put others's needs before your own?,Strongly Disagree,Disagree,Agree,Strongly Agree,D
A_score,Do you think it is important to support others emotionally?,Strongly Disagree,Disagree,Agree,Strongly Agree,D
A_score,Do you enjoy working towards common goals with others?,Strongly Disagree,Disagree,Agree,Strongly Agree,D
A_score,Do you strive to maintain harmony in your relationships?,Strongly Disagree,Disagree,Agree,Strongly Agree,D
A_score,Do you believe in resolving conflicts through compromise?,Strongly Disagree,Disagree,Agree,Strongly Agree,D
A_score,Do you often engage in acts of kindness?,Strongly Disagree,Disagree,Agree,Strongly Agree,D
A_score,Do you find it easy to connect with others emotionally?,Strongly Disagree,Disagree,Agree,Strongly Agree,D
A_score,I usually prioritize my needs over others', even at the expense of others.,Strongly Disagree,Disagree,Agree,Strongly Agree,A
A_score,I tend to hold grudges and find it difficult to forgive.,Strongly Disagree,Disagree,Agree,Strongly Agree,A
A_score,I often think that other people's problems are not my concern.,Strongly Disagree,Disagree,Agree,Strongly Agree,A
A_score,I believe it is unnecessary to be polite to people I don't know.,Strongly Disagree,Disagree,Agree,Strongly Agree,A
A_score,I prefer competition over cooperation in most situations.,Strongly Disagree,Disagree,Agree,Strongly Agree,A
N_score,Do you often feel anxious about the future?,Strongly Disagree,Disagree,Agree,Strongly Agree,D
N_score,Do you get easily stressed in challenging situations?,Strongly Disagree,Disagree,Agree,Strongly Agree,D
N_score,Do you frequently worry about your performance?,Strongly Disagree,Disagree,Agree,Strongly Agree,D
N_score,Do you often feel nervous or uneasy?,Strongly Disagree,Disagree,Agree,Strongly Agree,D
N_score,Do you find it hard to relax in stressful situations?,Strongly Disagree,Disagree,Agree,Strongly Agree,D
N_score,Do you often dwell on negative thoughts?,Strongly Disagree,Disagree,Agree,Strongly Agree,D
N_score,Do you feel overwhelmed by responsibilities?,Strongly Disagree,Disagree,Agree,Strongly Agree,D
N_score,Do you frequently experience mood swings?,Strongly Disagree,Disagree,Agree,Strongly Agree,D
N_score,Do you often feel self-conscious in social settings?,Strongly Disagree,Disagree,Agree,Strongly Agree,D
N_score,Do you find it difficult to manage stress?,Strongly Disagree,Disagree,Agree,Strongly Agree,D
N_score,Do you often worry about how others perceive you?,Strongly Disagree,Disagree,Agree,Strongly Agree,D
N_score,Do you feel uneasy about taking risks?,Strongly Disagree,Disagree,Agree,Strongly Agree,D
N_score,Do you often feel overwhelmed by your emotions?,Strongly Disagree,Disagree,Agree,Strongly Agree,D
N_score,Do you find it hard to cope with unexpected changes?,Strongly Disagree,Disagree,Agree,Strongly Agree,D
N_score,Do you frequently worry about potential problems?,Strongly Disagree,Disagree,Agree,Strongly Agree,D
N_score,Do you often feel uneasy about new situations?,Strongly Disagree,Disagree,Agree,Strongly Agree,D
N_score,Do you experience anxiety in high-pressure environments?,Strongly Disagree,Disagree,Agree,Strongly Agree,D
N_score,Do you find it challenging to stay calm under pressure?,Strongly Disagree,Disagree,Agree,Strongly Agree,D
N_score,Do you frequently feel worried about personal issues?,Strongly Disagree,Disagree,Agree,Strongly Agree,D
N_score,Do you feel nervous about meeting new people?,Strongly Disagree,Disagree,Agree,Strongly Agree,D
N_score,Do you often experience feelings of insecurity?,Strongly Disagree,Disagree,Agree,Strongly Agree,D
N_score,Do you frequently feel stressed about deadlines?,Strongly Disagree,Disagree,Agree,Strongly Agree,D
N_score,Do you often worry about making mistakes?,Strongly Disagree,Disagree,Agree,Strongly Agree,D
N_score,Do you find it difficult to stay positive in challenging situations?,Strongly Disagree,Disagree,Agree,Strongly Agree,D
N_score,I often feel overwhelmed by minor setbacks.,Strongly Disagree,Disagree,Agree,Strongly Agree,A
N_score,I frequently experience anxiety over situations that may never happen.,Strongly Disagree,Disagree,Agree,Strongly Agree,A
N_score,I tend to be pessimistic and expect the worst outcomes.,Strongly Disagree,Disagree,Agree,Strongly Agree,A
N_score,It's hard for me to stay calm under pressure.,Strongly Disagree,Disagree,Agree,Strongly Agree,A
N_score,My emotions tend to fluctuate wildly.,Strongly Disagree,Disagree,Agree,Strongly Agree,A
Numerical_Aptitude,What is the value of 15% of 200?,25,30,35,40,B
Numerical_Aptitude,"If a train travels 60 miles in 1 hour, how many miles does it travel in 3 hours?",120,150,180,200,C
Numerical_Aptitude,Solve for x: 2x + 5 = 15,3,5,7,10,C
Numerical_Aptitude,"What is the next number in the sequence 2, 4, 8, 16?",24,30,32,40,C
Numerical_Aptitude,"If you buy 5 items for $12 each, how much do you spend in total?",50,60,65,75,B
Numerical_Aptitude,"A recipe requires 3/4 cup of sugar. If you want to make half the recipe, how much sugar do you need?",1/2 cup,1/4 cup,3/8 cup,1 cup,C
Numerical_Aptitude,"What is the median of the following numbers: 5, 7, 8, 10, 12?",7,8,10,12,B
Numerical_Aptitude,A car travels 120 miles on 4 gallons of gas. How many miles can it travel on 10 gallons?,250,300,300,350,B
Numerical_Aptitude,"If you divide 144 by 12, what is the result?",10,11,12,13,C
Numerical_Aptitude,A store offers a 20% discount on a $50 item. What is the discounted price?,30,35,40,45,B
Numerical_Aptitude,"If a shirt costs $20 and is marked up by 15%, what is the new price?",23,25,27,28,C
Numerical_Aptitude,What is 5 squared?,20,25,30,35,B
Numerical_Aptitude,"If you have 3 apples and buy 7 more, how many apples do you have in total?",8,9,10,11,D
Numerical_Aptitude,What is 7 times 8?,52,56,60,64,B
Numerical_Aptitude,Solve for y: 3y - 4 = 14,4,5,6,7,D
Numerical_Aptitude,What is the perimeter of a rectangle with length 10 and width 5?,30,40,50,60,B
Numerical_Aptitude,"If a book costs $12.50 and you pay with a $20 bill, how much change do you get?",7.50,8.50,9.50,10.50,A
Numerical_Aptitude,A person earns $15 per hour. How much will they earn in 8 hours?,100,120,130,140,B
Numerical_Aptitude,What is 10% of 150?,10,12,15,18,C
Numerical_Aptitude,"A restaurant bill comes to $45.00, and you want to leave a 18% tip. How much is the tip?",7.50,8.10,8.50,9.00,B
Numerical_Aptitude,"If you save $25 each month, how much will you save in 12 months?",250,275,300,325,C
Numerical_Aptitude,What is the square root of 81?,8,9,10,11,B
Numerical_Aptitude,A bag of flour weighs 2.5 kg. How many grams does it weigh?,250,500,1000,2500,D
Numerical_Aptitude,What is the area of a triangle with a base of 10 and height of 5?,25,30,35,40,A
Numerical_Aptitude,"If a train travels 150 miles in 3 hours, what is its average speed?",45 mph,50 mph,55 mph,60 mph,D
Numerical_Aptitude,Solve for x: x/4 = 6,20,22,24,26,A
Numerical_Aptitude,"If a pizza has 8 slices and you eat 3, what fraction of the pizza is left?",3/8,5/8,4/8,7/8,B
Numerical_Aptitude,What is the result of 9 divided by 3?,2,3,4,5,B
Spatial_Aptitude,"If you fold a piece of paper in half and then in half again, how many layers will there be?",2,4,6,8,B
Spatial_Aptitude,What shape do you get if you cut a cube in half horizontally?,Square,Rectangle,Triangle,Circle,B
Spatial_Aptitude,"If a ball is rolling down a hill, what direction is the force of gravity acting?",Upwards,Downwards,Sideways,No force,B
Spatial_Aptitude,How many faces does a tetrahedron have?,4,5,6,7,A
Spatial_Aptitude,What is the result of rotating a square 90 degrees?,A triangle,Another square,A rectangle,A parallelogram,B
Spatial_Aptitude,"If you move a shape by sliding it, what type of transformation is this?",Rotation,Reflection,Translation,Scaling,C
Spatial_Aptitude,How many edges does a cuboid have?,10,12,14,16,B
Spatial_Aptitude,What shape do you get when you slice a cylinder horizontally?,Circle,Triangle,Rectangle,Ellipse,A
Spatial_Aptitude,"If a box is 4 cm wide, 6 cm long, and 2 cm high, what is its volume?",24 cm�,30 cm�,48 cm�,60 cm�,A
Spatial_Aptitude,How many vertices does a hexagonal pyramid have?,6,7,8,9,B
Spatial_Aptitude,What is the result of reflecting a triangle across a line?,The same triangle,A different shape,A larger triangle,A smaller triangle,A
Spatial_Aptitude,What is the shape of the base of a cone?,Circle,Square,Triangle,Hexagon,A
Spatial_Aptitude,"If you rotate a shape 180 degrees, what happens to its orientation?",It remains unchanged,It changes to the opposite,It becomes upside down,It becomes a mirror image,C
Spatial_Aptitude,What is the name of the shape with 12 edges and 8 faces?,Cube,Rectangular Prism,Octahedron,Dodecahedron,C
Spatial_Aptitude,How many faces does a cylinder have?,1,2,3,4,B
Spatial_Aptitude,"What is the name of the shape with 6 faces, all squares?",Cube,Pyramid,Tetrahedron,Prism,A
Spatial_Aptitude,How many faces does a cone have?,1,2,3,4,A
Spatial_Aptitude,What is the name of the shape with 5 faces and 5 vertices?,Pentagon,Pyramid,Tetrahedron,Cuboid,B
Spatial_Aptitude,What is the result of rotating a triangle 180 degrees?,A different shape,The same triangle,A parallelogram,A trapezium,B
Spatial_Aptitude,"If you slide a shape across a plane, what happens to its orientation?",It changes,It remains the same,It flips,It rotates,B
Spatial_Aptitude,How many vertices does a cube have?,6,8,12,16,B
Perceptual_Aptitude,"What is the next number in the series 2, 5, 10, 17?",24,26,28,30,A
Perceptual_Aptitude,"Which shape is different: circle, square, triangle, rectangle?",Circle,Square,Triangle,Rectangle,A
Perceptual_Aptitude,"What is the next number in the series 1, 4, 9, 16?",20,21,22,25,D
Perceptual_Aptitude,Which one of these shapes is a parallelogram?,Square,Rectangle,Triangle,Circle,B
Perceptual_Aptitude,"If a pattern follows the sequence of increasing by 2 each time, what comes after 7, 9, 11?",13,14,15,16,A
Perceptual_Aptitude,What is the result of adding the angles of a triangle?,180 degrees,360 degrees,90 degrees,270 degrees,A
Perceptual_Aptitude,Which figure is a trapezium?,A shape with all sides equal,A shape with two parallel sides,A shape with four equal sides,A shape with no parallel sides,B
Perceptual_Aptitude,"What is the missing number in the series 5, 11, 17, 23?",29,30,31,32,A
Perceptual_Aptitude,Which shape has four sides of equal length and no right angles?,Square,Rectangle,Rhombus,Trapezium,C
Perceptual_Aptitude,"What is the next number in the series 3, 9, 27, 81?",162,243,324,405,B
Perceptual_Aptitude,What is the result of subtracting 9 from 15?,4,5,6,7,C
Perceptual_Aptitude,"Which one of these is not a polygon: triangle, square, circle, hexagon?",Triangle,Square,Circle,Hexagon,C
Perceptual_Aptitude,What is the name of the shape with 8 sides?,Hexagon,Octagon,Decagon,Dodecagon,B
Perceptual_Aptitude,"What is the missing number in the series 10, 20, 30, 40?",45,50,55,60,B
Perceptual_Aptitude,Which shape has two pairs of parallel sides?,Square,Triangle,Circle,Parallelogram,D
Perceptual_Aptitude,"What is the next number in the series 6, 12, 18, 24?",28,30,32,36,B
Perceptual_Aptitude,Which shape has all angles equal and all sides equal?,Rectangle,Rhombus,Square,Trapezium,C
Perceptual_Aptitude,"What is the next number in the series 2, 6, 12, 20?",28,30,32,34,A
Perceptual_Aptitude,Which figure is a parallelogram with all angles equal?,Square,Rectangle,Rhombus,Trapezium,B
Perceptual_Aptitude,"What is the missing number in the series 7, 14, 21, 28?",33,35,36,38,D
Perceptual_Aptitude,What is the result of multiplying 4 by 6?,22,24,26,28,B
Abstract_Reasoning,"What comes next in the sequence 1, 4, 9, 16?",20,25,30,36,B
Abstract_Reasoning,"Which number completes the series 2, 6, 12, 20?",28,30,32,34,A
Abstract_Reasoning,"What is the next term in the series 3, 6, 11, 18?",27,28,29,30,A
Abstract_Reasoning,"Which shape fits best in the pattern: triangle, square, pentagon, hexagon?",Heptagon,Circle,Rectangle,Diamond,A
Abstract_Reasoning,"What comes next in the series 5, 11, 17, 23?",29,30,31,32,A
Abstract_Reasoning,"What is the missing number in the pattern 1, 3, 7, 15?",23,31,32,33,B
Abstract_Reasoning,"What is the missing number in the sequence 2, 5, 10, 17?",24,23,22,21,A
Abstract_Reasoning,"What comes next in the pattern square, circle, triangle, square?",Circle,Triangle,Hexagon,Square,A
Abstract_Reasoning,"Which number is next in the series 2, 4, 8, 16?",24,32,40,48,B
Abstract_Reasoning,"What is the next shape in the sequence circle, triangle, square, circle?",Square,Triangle,Hexagon,Circle,D
Abstract_Reasoning,"What is the missing number in the sequence 1, 8, 27, 64?",125,100,81,144,A
Abstract_Reasoning,"What is the next number in the series 7, 14, 28, 56?",84,100,70,64,A
Abstract_Reasoning,"What comes next in the series 3, 9, 27, 81?",162,243,324,405,B
Abstract_Reasoning,"What is the next term in the pattern triangle, square, hexagon, octagon?",Decagon,Circle,Pentagon,Rectangle,A
Abstract_Reasoning,"What shape completes the pattern: diamond, square, triangle, diamond?",Square,Circle,Hexagon,Triangle,A
Abstract_Reasoning,"What is the missing number in the sequence 4, 12, 36, 108?",324,288,252,216,A
Abstract_Reasoning,"What comes next in the series 10, 20, 30, 40?",50,60,70,80,A
Abstract_Reasoning,"What is the next term in the pattern 2, 8, 18, 32?",50,60,70,80,A
Abstract_Reasoning,"What is the missing number in the sequence 5, 15, 45, 135?",405,360,300,270,A
Abstract_Reasoning,"What is the next number in the pattern 1, 2, 6, 24?",60,120,100,80,B
Abstract_Reasoning,"What is the missing number in the sequence 3, 9, 27, 81?",243,324,405,486,A
Abstract_Reasoning,"What comes next in the series 1, 2, 4, 8?",12,14,16,18,C
Abstract_Reasoning,"What is the next term in the sequence 5, 12, 21, 32?",45,50,55,60,A
Abstract_Reasoning,"What shape fits best in the pattern: circle, square, triangle, pentagon?",Hexagon,Octagon,Rectangle,Diamond,A
Abstract_Reasoning,"What is the next number in the series 6, 11, 18, 27?",38,39,40,41,A
Abstract_Reasoning,"What is the missing number in the sequence 2, 4, 8, 16?",32,24,20,18,A
Abstract_Reasoning,"What comes next in the pattern circle, hexagon, circle, octagon?",Circle,Square,Triangle,Rectangle,A
Abstract_Reasoning,"What is the next number in the sequence 1, 4, 9, 16?",20,25,30,35,B
Verbal_Reasoning,"What is the synonym of ""happy""?",Sad,Joyful,Angry,Bored,B
Verbal_Reasoning,"What is the antonym of ""difficult""?",Easy,Hard,Challenging,Complex,A
Verbal_Reasoning,"What is the meaning of the phrase ""barking up the wrong tree""?",Making a mistake,Being on the right track,Finding a solution,Taking a break,A
Verbal_Reasoning,"Which word is closest in meaning to ""vivid""?",Dull,Bright,Boring,Dark,B
Verbal_Reasoning,"What is the antonym of ""generous""?",Selfish,Kind,Giving,Charitable,A
Verbal_Reasoning,"Which word means ""to give up""?",Resist,Surrender,Maintain,Persist,B
Verbal_Reasoning,"What is the synonym of ""brave""?",Cowardly,Fearless,Timid,Shy,B
Verbal_Reasoning,"What is the meaning of the phrase ""hit the nail on the head""?",Make a mistake,Understand something perfectly,Ignore an issue,Overlook a detail,B
Verbal_Reasoning,"Which word is closest in meaning to ""fragile""?",Strong,Delicate,Tough,Sturdy,B
Verbal_Reasoning,"What is the antonym of ""expand""?",Increase,Enlarge,Contract,Grow,C
Verbal_Reasoning,"What does the word ""ambiguous"" mean?",Clear,Uncertain,Precise,Simple,B
Verbal_Reasoning,"Which word is closest in meaning to ""generous""?",Selfish,Giving,Kind,Greedy,C
Verbal_Reasoning,"What is the meaning of the phrase ""break the ice""?",Start a conversation,End a conflict,Make a mistake,Build a relationship,A
Verbal_Reasoning,"Which word is closest in meaning to ""contemplate""?",Ignore,Consider,Forget,Disregard,B
Verbal_Reasoning,"What is the antonym of ""deceive""?",Mislead,Trick,Reveal,Confuse,C
Verbal_Reasoning,"What is the meaning of the phrase ""a blessing in disguise""?",A bad thing,A good thing that seems bad,A neutral thing,A confusing thing,B
Verbal_Reasoning,"Which word is closest in meaning to ""adversary""?",Friend,Opponent,Supporter,Helper,B
Verbal_Reasoning,"What is the antonym of ""accept""?",Reject,Admit,Embrace,Agree,A
Verbal_Reasoning,"What does the word ""meticulous"" mean?",Careless,Detailed,Unconcerned,Hasty,B
Verbal_Reasoning,"Which word is closest in meaning to ""vivid""?",Dull,Bright,Boring,Dark,B
